Date,PricePerKilo
1/8/2019,66.66
1/15/2019,63.9
1/22/2019,62.88
1/29/2019,60.83
2/5/2019,57.41
2/12/2019,56.73
2/19/2019,56.82
2/26/2019,60
3/5/2019,65.65
3/12/2019,72.45
3/19/2019,71.55
3/26/2019,67.78
4/2/2019,65.13
4/9/2019,68.21
4/16/2019,67.33
4/23/2019,71.45
4/30/2019,69.53
5/7/2019,62.85
5/14/2019,61.94
5/21/2019,65.48
5/28/2019,61.33
6/4/2019,58.52
6/11/2019,61.85
6/18/2019,69.9
6/25/2019,64.09
7/2/2019,60.12
7/9/2019,61.06
7/16/2019,64.64
7/23/2019,60.18
7/30/2019,56.16
8/6/2019,54.13
8/13/2019,54.45
8/20/2019,55.05
8/27/2019,51.82
9/3/2019,55.1
9/10/2019,53.07
9/17/2019,50.8
9/24/2019,48.62
10/1/2019,47.73
10/8/2019,46.83
10/15/2019,50.7
10/22/2019,54.66
10/29/2019,53.87
11/5/2019,52.99
11/12/2019,54.48
11/19/2019,58.63
11/26/2019,61.56
12/3/2019,63.25
12/10/2019,63.72
12/17/2019,68.76
12/24/2019,75.05
12/31/2019,77.04
1/8/2020,78.2
1/15/2020,77.63
1/22/2020,76.38
1/29/2020,75.53
2/5/2020,70.25
2/12/2020,65.56
2/19/2020,64.49
2/26/2020,68.42
3/4/2020,72.8
3/11/2020,67.74
3/18/2020,66.17
3/25/2020,61.29
4/1/2020,58.95
4/8/2020,60.04
4/15/2020,59.34
4/22/2020,56.11
4/29/2020,56.46
5/6/2020,55.85
5/13/2020,54.66
5/20/2020,59.17
5/27/2020,65.46
6/3/2020,64.28
6/10/2020,69.23
6/17/2020,69.94
6/24/2020,61.92
7/1/2020,59.01
7/8/2020,59.81
7/15/2020,58.69
7/22/2020,52.68
7/29/2020,52.23
8/5/2020,49.72
8/12/2020,49.62
8/19/2020,51.7
8/26/2020,52.61
9/2/2020,49.25
9/9/2020,48.9
9/16/2020,49.46
9/23/2020,48.5
9/30/2020,50.77
10/7/2020,49.83
10/14/2020,48.58
10/21/2020,50
10/28/2020,48.04
11/4/2020,47.09
11/11/2020,46.9
11/18/2020,47.98
11/25/2020,48.58
12/2/2020,47.67
12/9/2020,46.35
12/16/2020,46.09
12/23/2020,46.24
12/30/2020,50.22
1/6/2021,54.01
1/8/2021,50.38
1/15/2021,46.55
1/22/2021,49.81
1/29/2021,47.94
2/5/2021,47.31
2/12/2021,51.21
2/19/2021,51.07
2/26/2021,55.51
3/5/2021,63.31
3/12/2021,62.79
3/19/2021,59.97
3/26/2021,62.06
4/2/2021,65.25
4/9/2021,65.17
4/16/2021,60.99
4/23/2021,61.13
4/30/2021,65.74
5/7/2021,65.06
5/14/2021,71.08
5/21/2021,68.48
5/28/2021,63.53
6/4/2021,59.59
6/11/2021,57.64
6/18/2021,61.45
6/25/2021,60.12
7/2/2021,59.17
7/9/2021,59.85
7/16/2021,64.69
7/23/2021,66.05
7/30/2021,62.03
8/6/2021,58.52
8/13/2021,59.08
8/20/2021,56.91
8/27/2021,54.08
9/3/2021,54.41
9/10/2021,52.3
9/17/2021,53.43
9/24/2021,52.88
10/1/2021,53.54
10/8/2021,55.33
10/15/2021,58.39
10/22/2021,59.63
