Date,Weight
1/8/2019,12098
1/15/2019,16968
1/22/2019,15367
1/29/2019,17427
2/5/2019,16333
2/12/2019,17688
2/19/2019,17634
2/26/2019,17103
3/5/2019,15192
3/12/2019,14387
3/19/2019,14472
3/26/2019,16569
4/2/2019,17460
4/9/2019,17409
4/16/2019,19916
4/23/2019,12499
4/30/2019,16037
5/7/2019,16133
5/14/2019,16315
5/21/2019,16127
5/28/2019,18992
6/4/2019,17473
6/11/2019,15457
6/18/2019,15627
6/25/2019,17756
7/2/2019,17510
7/9/2019,15805
7/16/2019,16630
7/23/2019,16754
7/30/2019,18839
8/6/2019,19422
8/13/2019,19035
8/20/2019,19510
8/27/2019,20732
9/3/2019,19995
9/10/2019,20918
9/17/2019,21666
9/24/2019,22100
10/1/2019,22761
10/8/2019,21618
10/15/2019,21887
10/22/2019,21025
10/29/2019,21587
11/5/2019,21899
11/12/2019,19393
11/19/2019,20563
11/26/2019,21543
12/3/2019,21783
12/10/2019,20399
12/17/2019,22556
12/24/2019,20352
12/31/2019,8714
1/8/2020,11249
1/15/2020,16141
1/22/2020,17512
1/29/2020,16034
2/5/2020,16259
2/12/2020,15452
2/19/2020,17375
2/26/2020,15504
3/4/2020,16153
3/11/2020,14891
3/18/2020,18009
3/25/2020,15332
4/1/2020,15676
4/8/2020,16955
4/15/2020,11992
4/22/2020,15119
4/29/2020,16029
5/6/2020,15212
5/13/2020,15927
5/20/2020,16824
5/27/2020,15417
6/3/2020,16342
6/10/2020,13442
6/17/2020,17174
6/24/2020,16081
7/1/2020,15888
7/8/2020,16147
7/15/2020,18090
7/22/2020,17391
7/29/2020,16482
8/5/2020,16616
8/12/2020,18471
8/19/2020,17910
8/26/2020,18922
9/2/2020,18760
9/9/2020,21788
9/16/2020,21188
9/23/2020,20791
9/30/2020,20748
10/7/2020,23535
10/14/2020,22748
10/21/2020,21602
10/28/2020,21738
11/4/2020,21486
11/11/2020,21382
11/18/2020,20136
11/25/2020,21750
12/2/2020,21964
12/9/2020,23507
12/16/2020,24043
12/23/2020,24827
12/30/2020,14127
1/6/2021,13597
1/8/2021,18590
1/15/2021,18720
1/22/2021,19141
1/29/2021,20045
2/5/2021,19322
2/12/2021,20115
2/19/2021,19128
2/26/2021,16754
3/5/2021,17969
3/12/2021,16959
3/19/2021,17699
3/26/2021,20495
4/2/2021,14286
4/9/2021,15144
4/16/2021,17979
4/23/2021,16234
4/30/2021,14629
5/7/2021,14137
5/14/2021,14863
5/21/2021,14746
5/28/2021,15977
6/4/2021,17993
6/11/2021,17277
6/18/2021,17738
6/25/2021,19385
7/2/2021,18688
7/9/2021,18410
7/16/2021,17066
7/23/2021,19289
7/30/2021,19460
8/6/2021,20239
8/13/2021,21558
8/20/2021,22000
8/27/2021,23881
9/3/2021,24787
9/10/2021,26422
9/17/2021,25827
9/24/2021,26728
10/1/2021,26410
10/8/2021,25798
10/15/2021,24509
10/22/2021,22881
