Date,Negative,Positive,Percent
4/1/2020,3736,198,5
4/2/2020,3361,198,5.6
4/3/2020,3394,164,4.6
4/4/2020,1301,88,6.3
4/5/2020,1048,72,6.4
4/6/2020,3369,159,4.5
4/7/2020,2837,140,4.7
4/8/2020,2162,106,4.7
4/9/2020,1229,103,7.7
4/10/2020,1295,68,5
4/11/2020,1314,110,7.7
4/12/2020,1172,76,6.1
4/13/2020,1243,77,5.8
4/14/2020,3243,122,3.6
4/15/2020,3330,103,3
4/16/2020,3030,80,2.6
4/17/2020,3023,108,3.4
4/18/2020,1127,49,4.2
4/19/2020,1108,36,3.1
4/20/2020,3691,84,2.2
4/21/2020,3507,78,2.2
4/22/2020,3270,77,2.3
4/23/2020,2902,69,2.3
4/24/2020,3232,53,1.6
4/25/2020,1109,25,2.2
4/26/2020,939,37,3.8
4/27/2020,4033,71,1.7
4/28/2020,4065,50,1.2
4/29/2020,3918,39,1
4/30/2020,4400,39,0.9
5/1/2020,1467,43,2.8
5/2/2020,1531,23,1.5
5/3/2020,1220,44,3.5
5/4/2020,4687,45,1
5/5/2020,4274,44,1
5/6/2020,4246,39,0.9
5/7/2020,3722,29,0.8
5/8/2020,3762,42,1.1
5/9/2020,1293,11,0.8
5/10/2020,993,12,1.2
5/11/2020,4380,25,0.6
5/12/2020,4780,19,0.4
5/13/2020,4453,19,0.4
5/14/2020,4183,24,0.6
5/15/2020,4156,23,0.6
5/16/2020,1301,13,1
5/17/2020,664,4,0.6
5/18/2020,4396,17,0.4
5/19/2020,4644,20,0.4
5/20/2020,3936,19,0.5
5/21/2020,1136,14,1.2
5/22/2020,3322,26,0.8
5/23/2020,1036,6,0.6
5/24/2020,895,6,0.7
5/25/2020,4058,18,0.4
5/26/2020,3446,12,0.3
5/27/2020,3272,18,0.5
5/28/2020,2771,16,0.6
5/29/2020,2579,16,0.6
5/30/2020,0,0,0
5/31/2020,630,6,0.9
6/1/2020,739,7,0.9
6/2/2020,3819,31,0.8
6/3/2020,3127,12,0.4
6/4/2020,2913,17,0.6
6/5/2020,2905,30,1
6/6/2020,944,8,0.8
6/7/2020,940,9,0.9
6/8/2020,5736,19,0.3
6/9/2020,5649,13,0.2
6/10/2020,4548,14,0.3
6/11/2020,4858,11,0.2
6/12/2020,4622,13,0.3
6/13/2020,1242,7,0.6
6/14/2020,1129,6,0.5
6/15/2020,5837,18,0.3
6/16/2020,5417,36,0.7
6/17/2020,4970,15,0.3
6/18/2020,4552,13,0.3
6/19/2020,3797,18,0.5
6/20/2020,1059,6,0.6
6/21/2020,1030,4,0.4
6/22/2020,5010,28,0.6
6/23/2020,4653,13,0.3
6/24/2020,4615,21,0.5
6/25/2020,4163,17,0.4
6/26/2020,3913,22,0.6
6/27/2020,1106,10,0.9
6/28/2020,992,1,0.1
6/29/2020,5922,26,0.4
6/30/2020,5021,11,0.2
7/1/2020,5116,8,0.2
7/2/2020,4740,9,0.2
7/3/2020,4533,10,0.2
7/4/2020,1428,2,0.1
7/5/2020,1198,1,0.1
7/6/2020,6314,14,0.2
7/7/2020,5341,10,0.2
7/8/2020,5296,11,0.2
7/9/2020,4811,8,0.2
7/10/2020,4690,13,0.3
7/11/2020,1393,4,0.3
7/12/2020,1196,5,0.4
7/13/2020,6358,19,0.3
7/14/2020,5260,8,0.2
7/15/2020,5403,6,0.1
7/16/2020,4558,4,0.1
7/17/2020,4135,12,0.3
7/18/2020,1420,1,0.1
7/19/2020,1347,3,0.2
7/20/2020,6003,21,0.3
7/21/2020,4819,6,0.1
7/22/2020,4908,22,0.4
7/23/2020,4479,6,0.1
7/24/2020,4501,24,0.5
7/25/2020,1703,6,0.4
7/26/2020,1464,9,0.6
7/27/2020,6860,24,0.3
7/28/2020,5880,16,0.3
7/29/2020,5860,37,0.6
7/30/2020,5545,23,0.4
7/31/2020,5396,72,1.3
8/1/2020,2100,14,0.7
8/2/2020,1892,13,0.7
8/3/2020,9290,38,0.4
8/4/2020,8406,40,0.5
8/5/2020,8699,66,0.8
8/6/2020,8616,79,0.9
8/7/2020,8367,80,0.9
8/8/2020,3266,35,1.1
8/9/2020,3140,34,1.1
8/10/2020,13445,63,0.5
8/11/2020,12934,43,0.3
8/12/2020,13386,63,0.5
8/13/2020,13223,54,0.4
8/14/2020,13713,76,0.6
8/15/2020,5995,44,0.7
8/16/2020,5274,27,0.5
8/17/2020,18207,74,0.4
8/18/2020,16937,58,0.3
8/19/2020,16480,60,0.4
8/20/2020,15623,50,0.3
8/21/2020,15223,53,0.3
8/22/2020,6773,45,0.7
8/23/2020,6948,19,0.3
8/24/2020,21132,67,0.3
8/25/2020,19356,42,0.2
8/26/2020,18827,40,0.2
8/27/2020,17296,52,0.3
8/28/2020,16420,84,0.5
8/29/2020,6356,42,0.7
8/30/2020,6748,50,0.7
8/31/2020,22596,148,0.7
9/1/2020,20336,115,0.6
9/2/2020,19101,101,0.5
9/3/2020,17624,125,0.7
9/4/2020,15489,119,0.8
9/5/2020,5949,73,1.2
9/6/2020,6372,60,0.9
9/7/2020,20908,132,0.6
9/8/2020,18772,113,0.6
9/9/2020,17834,124,0.7
9/10/2020,15571,132,0.8
9/11/2020,14875,119,0.8
9/12/2020,7050,67,0.9
9/13/2020,6697,78,1.2
9/14/2020,21444,104,0.5
9/15/2020,18888,133,0.7
9/16/2020,17569,137,0.8
9/17/2020,15176,117,0.8
9/18/2020,14063,94,0.7
9/19/2020,5788,58,1
9/20/2020,5746,77,1.3
9/21/2020,20661,163,0.8
9/22/2020,16713,101,0.6
9/23/2020,16242,143,0.9
9/24/2020,14367,133,0.9
9/25/2020,13780,130,0.9
9/26/2020,5980,63,1
9/27/2020,5935,54,0.9
9/28/2020,19134,124,0.6
9/29/2020,15429,110,0.7
9/30/2020,14880,120,0.8
10/1/2020,12825,131,1
10/2/2020,13067,134,1
10/3/2020,5723,110,1.9
10/4/2020,5952,89,1.5
10/5/2020,19147,209,1.1
10/6/2020,14818,198,1.3
10/7/2020,14171,199,1.4
10/8/2020,12967,168,1.3
10/9/2020,12682,141,1.1
10/10/2020,5863,65,1.1
10/11/2020,6412,78,1.2
10/12/2020,19760,167,0.8
10/13/2020,15681,155,1
10/14/2020,15179,162,1.1
10/15/2020,13716,141,1
10/16/2020,13007,137,1
10/17/2020,5885,88,1.5
10/18/2020,6349,93,1.4
10/19/2020,20535,219,1.1
10/20/2020,16895,183,1.1
10/21/2020,16046,221,1.4
10/22/2020,15380,285,1.8
10/23/2020,15122,368,2.4
10/24/2020,7300,231,3.1
10/25/2020,7636,202,2.6
10/26/2020,23166,487,2.1
10/27/2020,20684,391,1.9
10/28/2020,20852,514,2.4
10/29/2020,20665,431,2
10/30/2020,20073,617,3
10/31/2020,9258,385,4
11/1/2020,9428,323,3.3
11/2/2020,27397,647,2.3
11/3/2020,26652,682,2.5
11/4/2020,25187,690,2.7
11/5/2020,27291,602,2.2
11/6/2020,26732,650,2.4
11/7/2020,12178,388,3.1
11/8/2020,11366,385,3.3
11/9/2020,30463,706,2.3
11/10/2020,25130,603,2.3
11/11/2020,23201,662,2.8
11/12/2020,23054,637,2.7
11/13/2020,21474,697,3.1
11/14/2020,9537,379,3.8
11/15/2020,10556,405,3.7
11/16/2020,27828,722,2.5
11/17/2020,21198,635,2.9
11/18/2020,20974,652,3
11/19/2020,18826,564,2.9
11/20/2020,17627,519,2.9
11/21/2020,8012,288,3.5
11/22/2020,8088,279,3.3
11/23/2020,25194,609,2.4
11/24/2020,19120,415,2.1
11/25/2020,18928,513,2.6
11/26/2020,18134,477,2.6
11/27/2020,15500,447,2.8
11/28/2020,6785,236,3.4
11/29/2020,6885,228,3.2
11/30/2020,22584,448,1.9
12/1/2020,18021,362,2
12/2/2020,17251,420,2.4
12/3/2020,17186,400,2.3
12/4/2020,15321,382,2.4
12/5/2020,6557,252,3.7
12/6/2020,7102,262,3.6
12/7/2020,23211,500,2.1
12/8/2020,18659,392,2.1
12/9/2020,18475,453,2.4
12/10/2020,18893,435,2.3
12/11/2020,17416,403,2.3
12/12/2020,8723,256,2.9
12/13/2020,8856,285,3.1
12/14/2020,25583,544,2.1
12/15/2020,22177,440,1.9
12/16/2020,22687,450,1.9
12/17/2020,23535,431,1.8
12/18/2020,23801,475,2
12/19/2020,13004,309,2.3
12/20/2020,12423,299,2.4
12/21/2020,31224,621,2
12/22/2020,25995,560,2.1
12/23/2020,17762,587,3.2
